"Ensembl_ID","Gene_symbol","Log_FoldChange","logCPM","PValue","FDR_adjusted_P.value","Power","BCOV"
"ENSMUSG00000026058","Khdrbs2",1.103,0.115,0.301241829387633,0.543449165208756,0.172,0.709
"ENSMUSG00000043015","Nemp2",-0.345,3.416,0.301222503724725,0.543449165208756,0.157,0.252
"ENSMUSG00000058444","Map2k5",0.249,4.529,0.301213427936579,0.543449165208756,0.169,0.175
"ENSMUSG00000025137","Pcyt2",-0.183,5.853,0.301247977897409,0.543449165208756,0.187,0.134
"ENSMUSG00000048922","Cdca2",-0.472,2.789,0.301416344741255,0.543651812336759,0.17,0.347
"ENSMUSG00000025968","Ndufs1",-0.182,6.084,0.301424655567706,0.543651812336759,0.197,0.133
"ENSMUSG00000020441","2310033P09Rik",-0.327,3.641,0.301604334145537,0.543917826936103,0.161,0.238
"ENSMUSG00000049882","Vcpkmt",0.514,2.289,0.301737961982087,0.544100745019028,0.164,0.352
"ENSMUSG00000085589","A430078I02Rik",-0.989,-0.687,0.301844512975627,0.544234803698478,0.113,0.689
"ENSMUSG00000002409","Dyrk1b",-0.391,3.148,0.301954757678764,0.54437549293244,0.161,0.288
"ENSMUSG00000066361","Serpina3c",-1.614,-2.272,0.302003479176379,0.544405247612808,0.11,0.989
"ENSMUSG00000016181","Diexf",-0.389,3.637,0.302283249984014,0.544851451544519,0.183,0.288
"ENSMUSG00000029452","Tmem116",-0.832,-0.478,0.302406468376654,0.544962833240717,0.102,0.586
"ENSMUSG00000022948","Setd4",-0.492,2.816,0.302538545308981,0.544962833240717,0.176,0.365
"ENSMUSG00000038970","Lmtk2",0.301,4.674,0.302454056860599,0.544962833240717,0.204,0.214
"ENSMUSG00000031232","Magt1",0.187,5.973,0.302507040919431,0.544962833240717,0.198,0.134
"ENSMUSG00000024339","Tap2",0.183,6.896,0.302499385329301,0.544962833240717,0.238,0.132
"ENSMUSG00000063229","Ldha",0.177,8.569,0.302483077553868,0.544962833240717,0.288,0.129
"ENSMUSG00000040481","Bptf",0.191,6.804,0.302660423750163,0.545124263539784,0.24,0.138
"ENSMUSG00000014956","Ppp1cb",0.194,6.627,0.302754913280976,0.545236334287748,0.234,0.14
"ENSMUSG00000025576","Rbfox3",2.249,-2.876,0.302883511661056,0.54536272546224,0.131,1.154
"ENSMUSG00000034254","Agpat1",0.191,6.099,0.302889642470299,0.54536272546224,0.208,0.137
"ENSMUSG00000022231","Sema5a",-1.006,-0.86,0.302964083141399,0.545438640200657,0.109,0.698
"ENSMUSG00000090121","Abhd12b",2.795,-3.037,0.303049045383019,0.545510101045716,0.171,0.988
