"Ensembl_ID","Gene_symbol","Log_FoldChange","logCPM","PValue","FDR_adjusted_P.value","Power","BCOV"
"ENSMUSG00000020609","Apob",10.307,5.623,1.60950479206206e-173,2.92350450430153e-169,1,0.174
"ENSMUSG00000045991","Onecut2",7.972,5.347,8.58455184208093e-131,7.7964899829779e-127,1,0.185
"ENSMUSG00000047230","Cldn2",7.562,5.71,6.06341210560947e-108,3.67119391620968e-104,1,0.205
"ENSMUSG00000029260","Ugt2b34",11.141,4.715,2.55476657963148e-102,1.16011950381065e-98,1,0.228
"ENSMUSG00000017950","Hnf4a",8.934,4.218,2.84277401335943e-97,1.03272294357321e-93,1,0.213
"ENSMUSG00000025383","Il23a",8.401,6.023,8.17724661711346e-95,2.47552512588748e-91,1,0.236
"ENSMUSG00000047517","Dmbt1",9.635,6.311,2.46414027318926e-76,6.39409198888711e-73,1,0.285
"ENSMUSG00000029915","Clec5a",4.025,5.783,2.10102548591379e-75,4.77037836576726e-72,1,0.161
"ENSMUSG00000023349","Clec4n",4.923,7.419,1.78573755699998e-72,3.60401522059418e-69,1,0.196
"ENSMUSG00000029304","Spp1",6.22,10.429,1.68975437581607e-68,3.06926984823231e-65,1,0.24
"ENSMUSG00000024803","Ankrd1",5.121,4.309,5.53063198748862e-68,9.13258176552212e-65,1,0.197
"ENSMUSG00000043501","Lgals2",7.49,3.654,1.67536774853005e-64,2.53594831535832e-61,1,0.245
"ENSMUSG00000044303","Cdkn2a",6.742,3.831,2.20756913812031e-64,2.86416327320123e-61,1,0.236
"ENSMUSG00000035775","Krt20",8.564,4.479,2.1694787475458e-64,2.86416327320123e-61,1,0.277
"ENSMUSG00000027399","Il1a",5.806,9.148,9.99952572585782e-64,1.21087590189654e-60,1,0.237
"ENSMUSG00000056758","Hmga2",5.761,4.283,7.13084865432571e-60,8.09529593482326e-57,1,0.229
"ENSMUSG00000024401","Tnf",3.767,9.007,6.2338121370865e-59,6.66064492106113e-56,1,0.177
"ENSMUSG00000063011","Msln",7.09,5.863,1.85631364504275e-58,1.8732267249198e-55,1,0.278
"ENSMUSG00000023992","Trem2",4.392,6.191,7.95498312101092e-55,7.60496386368644e-52,1,0.205
"ENSMUSG00000022037","Clu",3.959,8.966,2.51692256720433e-52,2.28586907553498e-49,1,0.195
"ENSMUSG00000029816","Gpnmb",5.023,8.345,3.81571289046801e-52,3.300409949641e-49,1,0.236
"ENSMUSG00000031635","Anxa10",11.934,2.89,1.26290130430631e-51,1.04269724051909e-48,1,0.294
"ENSMUSG00000031430","Vsig1",7.415,3.67,2.22936515528898e-51,1.76061689915952e-48,1,0.283
"ENSMUSG00000003477","Inmt",-4.72,7.991,1.04057122404978e-50,7.87538988068343e-48,1,0.228
"ENSMUSG00000028217","Cdh17",4.276,4.005,2.07946282140347e-49,1.51085450751891e-46,1,0.203
"ENSMUSG00000031438","Rnf128",3.186,5.036,8.5319804711988e-49,5.9605728184175e-46,1,0.165
"ENSMUSG00000021822","Plau",3.404,6.247,1.62849586850196e-47,1.09555551686924e-44,1,0.18
"ENSMUSG00000032487","Ptgs2",3.709,9.885,2.01647994656598e-46,1.30811934819373e-43,1,0.197
"ENSMUSG00000036098","Myrf",4.305,5.304,3.42697428084298e-46,2.14646761507696e-43,1,0.219
"ENSMUSG00000031444","F10",3.482,5.64,7.98385428759452e-46,4.83395764266223e-43,1,0.185
"ENSMUSG00000044811","Cd300c2",2.829,6.119,2.15881826812848e-45,1.26492822652534e-42,1,0.157
"ENSMUSG00000028327","Stra6l",4.26,4.355,1.32043398210771e-44,7.4951133909389e-42,1,0.217
"ENSMUSG00000026879","Gsn",-5.254,10.976,4.05958938074611e-44,2.23449640945068e-41,1,0.266
"ENSMUSG00000066842","Hmcn1",-2.798,5.201,1.85234577101245e-43,9.89588487784414e-41,1,0.158
"ENSMUSG00000030607","Acan",12.139,3.096,1.22822690379137e-42,6.37414670870471e-40,1,0.344
"ENSMUSG00000024827","Gldc",7.542,3.38,1.30390032187724e-42,6.57890151293838e-40,1,0.311
"ENSMUSG00000020911","Krt19",3.281,6.72,3.51213487245587e-42,1.72417345468347e-39,1,0.186
"ENSMUSG00000030162","Olr1",3.303,6.246,3.9378247345488e-42,1.88228022311433e-39,1,0.187
"ENSMUSG00000032327","Stra6",6.378,4.12,4.42894099318458e-41,2.06275087692833e-38,1,0.302
"ENSMUSG00000026204","Ptprn",4.337,4.085,8.09062497778799e-41,3.67395280241353e-38,1,0.23
"ENSMUSG00000023915","Tnfrsf21",2.759,5.398,1.03554179333407e-40,4.58770271563903e-38,1,0.162
"ENSMUSG00000102037","Bcl2a1a",4.202,6.331,1.56400780517893e-40,6.76396137458812e-38,1,0.232
"ENSMUSG00000064294","Aox3",-4.246,5.482,2.8720563604377e-40,1.21321004025559e-37,1,0.233
"ENSMUSG00000043953","Ccrl2",3.87,7.869,3.68588244022057e-40,1.52159928736742e-37,1,0.22
"ENSMUSG00000056457","Prl2c3",9.756,2.541,3.81773096581823e-40,1.54100589473605e-37,1,0.326
"ENSMUSG00000021281","Tnfaip2",3.049,9.118,5.22040986271068e-40,2.06138097274515e-37,1,0.18
"ENSMUSG00000058427","Cxcl2",3.91,11.209,1.18232090010522e-39,4.56929294244919e-37,1,0.224
"ENSMUSG00000089929","Bcl2a1b",3.344,7.685,2.35012888679688e-39,8.8932793957872e-37,1,0.197
"ENSMUSG00000028494","Plin2",2.557,8.162,3.85287638434526e-39,1.4282376866377e-36,1,0.156
"ENSMUSG00000040600","Eps8l3",8.808,2.849,4.38693430228759e-39,1.59368549333504e-36,1,0.34
"ENSMUSG00000056973","Ces1d",-3.771,6.152,5.17769880789306e-39,1.84407296365823e-36,1,0.218
"ENSMUSG00000036905","C1qb",3.415,7.777,1.51839965805604e-38,5.30388680556343e-36,1,0.203
"ENSMUSG00000027398","Il1b",4.028,10.896,2.25160390004294e-38,7.71662891327924e-36,1,0.233
"ENSMUSG00000050578","Mmp13",4.522,4.514,2.38861761114886e-38,8.0346019053533e-36,1,0.248
"ENSMUSG00000024032","Tff1",10.064,2.854,3.06826074167901e-38,1.01330705657923e-35,1,0.352
"ENSMUSG00000029379","Cxcl3",4.097,6.554,4.80809403551868e-38,1.55953964394931e-35,1,0.237
"ENSMUSG00000061175","Fnip2",2.48,6.048,6.04916838053033e-38,1.927668323929e-35,1,0.153
"ENSMUSG00000027801","Tm4sf4",11.21,2.171,2.17964716109091e-37,6.82605362656126e-35,1,0.334
"ENSMUSG00000085498","Gm14023",5.181,4.621,3.44200704065422e-37,1.05967145570243e-34,1,0.281
"ENSMUSG00000020902","Ntn1",-3.326,5.551,7.66830927594516e-37,2.3214528281378e-34,1,0.2
"ENSMUSG00000036362","P2ry13",3.945,4.286,1.10088807536663e-36,3.27811983622286e-34,1,0.227
"ENSMUSG00000079092","Prl2c2",9.838,3.922,2.22004946037489e-36,6.50402877391121e-34,1,0.395
"ENSMUSG00000063234","Gpr84",6.425,4.05,2.77768911930494e-36,8.00856272429443e-34,1,0.326
"ENSMUSG00000036887","C1qa",3.158,7.668,5.80273425746653e-36,1.64688851644722e-33,1,0.196
"ENSMUSG00000019987","Arg1",3.522,5.96,2.53435888735998e-35,7.08216843538563e-33,1,0.217
"ENSMUSG00000024679","Ms4a6d",3.208,5.555,2.74914522718845e-35,7.56598089494712e-33,1,0.2
"ENSMUSG00000050359","Sprr1a",5.688,4.49,3.18723746578223e-35,8.64074348186095e-33,1,0.308
"ENSMUSG00000025497","Cdhr5",9.222,2.085,9.01817619435785e-35,2.40891400579876e-32,1,0.337
"ENSMUSG00000045545","Krt14",11.09,2.054,1.10922618275777e-34,2.91999773675537e-32,1,0.346
"ENSMUSG00000099974","Bcl2a1d",3.14,6.264,1.40894237516869e-34,3.65600418608058e-32,1,0.199
"ENSMUSG00000036896","C1qc",3.283,7.285,3.45790735107557e-34,8.84639846830094e-32,1,0.209
